"trip_id","route_id","timestamp","latitude","longitude","speed"
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0740","4_4-CS-TERM",1778481722,38.63258,-9.03322,19.31
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0840","4_4-CS-TERM",1778831103,38.6309,-9.03797,21.18
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778738102,38.64795,-9.0625,1.71
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778483762,38.6358,-9.04359,5.05
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778832721,38.6428,-9.04881,14.96
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778656741,38.64874,-9.06285,2.56
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0850","4_4-CS-TERM",1778486103,38.63325,-9.04118,7.72
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778825942,38.6428,-9.04843,0.08
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778560322,38.63253,-9.0336,0.63
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778564703,38.63632,-9.03151,4.47
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778745542,38.66525,-9.0739,4.14
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0800","4_4-CS-TERM",1778483162,38.63837,-9.04617,8.18
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778738341,38.65217,-9.07846,14.05
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0700","4_4-CS-TERM",1778478903,38.63653,-9.03169,8.6
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778562962,38.63996,-9.04763,1.03
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778474342,38.64153,-9.05758,1.19
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0700","4_4-CS-TERM",1778738523,38.63261,-9.03326,20.7
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0850","4_4-CS-TERM",1778487422,38.65421,-9.07609,2.68
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778648042,38.63081,-9.03807,1.44
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778823122,38.63263,-9.03323,1.15
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778573582,38.64267,-9.04829,9.98
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778823962,38.63645,-9.03222,0.16
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0740","4_4-CS-TERM",1778654461,38.63371,-9.03269,14.06
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778651881,38.64283,-9.0487,16.89
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778746022,38.66322,-9.05958,1.57
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0700","4_4-CS-TERM",1778825221,38.64283,-9.05019,21.68
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778648942,38.63649,-9.03161,0.79
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778476262,38.63475,-9.03242,4.86
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778739902,38.65157,-9.06598,23.77
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778486643,38.63165,-9.0394,3.8
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778649722,38.64489,-9.06044,4.16
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778660221,38.64493,-9.0605,4.02
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0740","4_4-CS-TERM",1778740922,38.63265,-9.0332,11.35
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778745903,38.63163,-9.03938,7.66
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778822222,38.63833,-9.04611,2.57
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778658182,38.64273,-9.04834,14.98
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778479383,38.63649,-9.03213,7.59
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0740","4_4-CS-TERM",1778827083,38.63651,-9.03213,8.2
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778746623,38.64148,-9.05747,5.3
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0850","4_4-CS-TERM",1778575802,38.66333,-9.05964,0.31
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778651762,38.63834,-9.04608,11.46
"20260511_DUPE_4-CS-TERM_0_DUPE_18_0740","4_4-CS-TERM",1778481603,38.63509,-9.0325,10.44
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0640","4_4-CS-TERM",1778737742,38.64186,-9.05829,2.42
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778735102,38.63648,-9.03205,1.61
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778649422,38.64251,-9.05199,9.43
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778572621,38.63251,-9.03324,3.36
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778568361,38.65119,-9.06446,24.06
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0820","4_4-CS-TERM",1778657102,38.63578,-9.04359,12.24
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0610","4_4-CS-TERM",1778564283,38.63822,-9.04603,3.04
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778832003,38.65209,-9.07844,5.16
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778654821,38.65351,-9.07389,5.7
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0900","4_4-CS-TERM",1778660041,38.64255,-9.05239,6.3
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778646962,38.63818,-9.04591,1.65
"20260512_DUPE_4-CS-TERM_0_DUPE_18_0720","4_4-CS-TERM",1778567822,38.65113,-9.06663,19.22
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778656022,38.63652,-9.03221,5.23
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778743562,38.65066,-9.06412,2.84
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0530","4_4-CS-TERM",1778734562,38.63821,-9.04592,1.24
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0840","4_4-CS-TERM",1778830862,38.63451,-9.03234,8.96
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0620","4_4-CS-TERM",1778649483,38.63644,-9.03219,11.72
"20260514_DUPE_4-CS-TERM_0_DUPE_18_0810","4_4-CS-TERM",1778743022,38.64224,-9.04816,5.35
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778654461,38.64247,-9.05919,17.76
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778654162,38.63985,-9.04756,0.28
"20260513_DUPE_4-CS-TERM_0_DUPE_18_0730","4_4-CS-TERM",1778653803,38.63513,-9.0326,13.43
"20260515_DUPE_4-CS-TERM_0_DUPE_18_0650","4_4-CS-TERM",1778827442,38.63614,-9.0315,5.33
